Code_postal,Nom_commune_plus_peuplee,Libelle_acheminement,Ligne_5,latitude_avg,longitude_avg,Population,Nombre_communes_INSEE
33770,SALLES,SALLES,,44.5423600410844,-0.86235271568998,6514,1
33780,SOULAC SUR MER,SOULAC SUR MER,,45.5007844668098,-1.09820985863311,2523,1
33790,PELLEGRUE,PELLEGRUE,,44.7459225360597,0.0582960234309312,2260,8
33810,AMBES,AMBES,,45.010558982831,-0.548495620333759,3209,1
33820,ST CIERS SUR GIRONDE,ST CIERS SUR GIRONDE,,45.2779736756179,-0.591914679225044,8149,7
33850,LEOGNAN,LEOGNAN,,44.7330123002104,-0.605856533002923,9749,1
33860,REIGNAC,REIGNAC,,45.2469937643741,-0.488738049348767,3557,3
33880,ST CAPRAIS DE BORDEAUX,ST CAPRAIS DE BORDEAUX,,44.7411392078336,-0.440429218370966,4896,3
33910,ST DENIS DE PILE,ST DENIS DE PILE,,45.0130473916406,-0.233344816893353,10607,7
33920,ST SAVIN,ST SAVIN,,45.1480842023889,-0.490244087670334,10610,8
33930,VENDAYS MONTALIVET,VENDAYS MONTALIVET,,45.3397737052544,-1.09098399552567,2463,1
33980,AUDENGE,AUDENGE,,44.6981540240895,-1.00256389769041,6899,1
34070,MONTPELLIER,MONTPELLIER,,43.6226143746232,3.85876298558966,272084,1
34090,MONTPELLIER,MONTPELLIER,,43.6226143746232,3.85876298558966,272084,1
34120,PEZENAS,PEZENAS,,43.4590263887271,3.42629440579811,14606,6
34160,CASTRIES,CASTRIES,,43.747014696448,4.0103197486149,23247,16
34170,CASTELNAU LE LEZ,CASTELNAU LE LEZ,,43.6384060208288,3.90702421870483,17837,1
34190,GANGES,GANGES,,43.8980293814849,3.70613999102583,11152,12
34210,OLONZAC,OLONZAC,,43.3421034778421,2.72110510390791,6364,15
34240,LAMALOU LES BAINS,LAMALOU LES BAINS,,43.6029762314772,3.06646977083437,2933,2
34250,PALAVAS LES FLOTS,PALAVAS LES FLOTS,,43.530932200175,3.94341554802735,6224,1
34270,ST MATHIEU DE TREVIERS,ST MATHIEU DE TREVIERS,,43.7879426262113,3.87215364117613,12330,12
34280,MAUGUIO,MAUGUIO,CARNON PLAGE,43.5749854956522,4.0520235177034,25164,2
34320,ROUJAN,ROUJAN,,43.5347134172545,3.30480558576685,6521,10
34330,LA SALVETAT SUR AGOUT,LA SALVETAT SUR AGOUT,,43.5895907878664,2.76557489460069,1629,4
34340,MARSEILLAN,MARSEILLAN,MARSEILLAN PLAGE,43.3580597400934,3.52948122023748,15696,2
34350,VALRAS PLAGE,VALRAS PLAGE,,43.2549088388197,3.25674549527728,6932,2
34360,ST CHINIAN,ST CHINIAN,,43.4359366826405,2.9143906071661,4202,11
34370,CAZOULS LES BEZIERS,CAZOULS LES BEZIERS,,43.3744348173553,3.09037943073167,12169,4
34400,LUNEL,LUNEL,,43.6959129456106,4.10781263110893,37708,9
34450,VIAS,VIAS,,43.3066524923618,3.40453722016127,5467,1
34460,CESSENON SUR ORB,CESSENON SUR ORB,,43.4635586285366,3.0256382837743,3325,3
34490,MURVIEL LES BEZIERS,MURVIEL LES BEZIERS,,43.4397416614779,3.14635209369746,11933,7
34500,BEZIERS,BEZIERS,,43.3369762477043,3.26158887379024,79014,2
34510,FLORENSAC,FLORENSAC,,43.3876467071873,3.46127955005084,4969,1
34530,MONTAGNAC,MONTAGNAC,,43.4679115095254,3.48831572407097,4371,2
34550,BESSAN,BESSAN,,43.3589252503546,3.41699625155797,4703,1
34590,MARSILLARGUES,MARSILLARGUES,,43.636294089473,4.14513830493569,6192,1
34610,ST GERVAIS SUR MARE,ST GERVAIS SUR MARE,,43.6678278579117,3.00235011258378,1770,5
34620,PUISSERGUIER,PUISSERGUIER,,43.3735345759529,3.05224295237097,2843,1
34630,ST THIBERY,ST THIBERY,,43.3928901971821,3.40183721778325,2324,1
34700,LODEVE,LODEVE,,43.7363868975197,3.34258828954087,13006,17
34710,LESPIGNAN,LESPIGNAN,,43.276563634836,3.17188408547172,3175,1
34720,CAUX,CAUX,,43.5084361067197,3.36744993517996,2532,1
34750,VILLENEUVE LES MAGUELONE,VILLENEUVE LES MAGUELONE,,43.5179318390123,3.84794475768051,9506,1
34760,BOUJAN SUR LIBRON,BOUJAN SUR LIBRON,,43.3786932636144,3.26389997440268,3233,1
34810,POMEROLS,POMEROLS,,43.3959146859147,3.51432981008489,2226,1
34820,TEYRAN,TEYRAN,,43.7086599591882,3.91592844525337,6615,3
34830,JACOU,JACOU,,43.6630215104062,3.89761636885166,11452,2
34850,PINET,PINET,,43.406401493704,3.51263404890003,1462,1
34880,LAVERUNE,LAVERUNE,,43.5851984195013,3.80194166434854,2795,1
34920,LE CRES,LE CRES,,43.6577423564909,3.93575453152856,8693,1
34970,LATTES,LATTES,,43.5625908688829,3.89757706551678,15748,1
34980,ST GELY DU FESC,ST GELY DU FESC,,43.6824921606449,3.810756182694,19464,5
35000,RENNES,RENNES,,48.1102349472478,-1.6788723402365,211373,1
35113,DOMAGNE,DOMAGNE,CHAUMERE,48.0647847765238,-1.40998346177505,4534,2
35114,ST BENOIT DES ONDES,ST BENOIT DES ONDES,,48.6130026466702,-1.86222287740348,1049,1
35120,DOL DE BRETAGNE,DOL DE BRETAGNE,,48.5485050771969,-1.72725892004899,19486,13
35131,CHARTRES DE BRETAGNE,CHARTRES DE BRETAGNE,,48.0293936513694,-1.70191957027342,11300,2
35132,VEZIN LE COQUET,VEZIN LE COQUET,,48.115837163835,-1.75462852295131,4901,1
35134,COESMES,COESMES,,47.8701212370631,-1.44859549522365,2514,3
35135,CHANTEPIE,CHANTEPIE,,48.0826464867391,-1.61040465471526,10410,1
35136,ST JACQUES DE LA LANDE,ST JACQUES DE LA LANDE,,48.0739406611904,-1.72441751514993,11783,1
