last_name;frequency
assani;0.00004
asselin;0.00005
assemat;0.00003
assie;0.00003
assouline;0.00002
astie;0.00001
astier;0.00010
astruc;0.00008
athias;0.00001
atlan;0.00003
attal;0.00004
attali;0.00002
attard;0.00003
attia;0.00004
attias;0.00001
attoumani;0.00006
aubard;0.00001
aube;0.00004
aubel;0.00002
auber;0.00002
auberger;0.00003
aubert;0.00054
aubertin;0.00006
aubier;0.00002
aubin;0.00013
aubineau;0.00003
auble;0.00001
aubourg;0.00002
aubree;0.00003
aubron;0.00001
aubrun;0.00005
aubry;0.00035
auburtin;0.00002
aucher;0.00002
auclair;0.00008
aucouturier;0.00001
auda;0.00001
aude;0.00002
audebert;0.00006
audibert;0.00005
audic;0.00003
audier;0.00001
audiger;0.00001
audigier;0.00002
audin;0.00001
audinet;0.00002
audinot;0.00001
audo;0.00002
audoin;0.00003
audoire;0.00001
audonnet;0.00001
audouard;0.00003
audouin;0.00004
audoux;0.00002
audouy;0.00002
audrain;0.00003
audran;0.00003
audren;0.00002
audry;0.00002
audureau;0.00002
audy;0.00001
auer;0.00002
auffray;0.00002
auffret;0.00009
aufort;0.00002
aufrere;0.00003
augagneur;0.00001
auge;0.00010
augendre;0.00003
auger;0.00020
augereau;0.00004
augier;0.00006
augis;0.00001
auguet;0.00002
auguin;0.00001
auguste;0.00008
augustin;0.00007
auguy;0.00001
aujard;0.00001
aujoulat;0.00001
aulagnier;0.00001
aumaitre;0.00001
aumeunier;0.00001
aumond;0.00001
aumont;0.00005
auneau;0.00001
aupetit;0.00003
aurand;0.00001
aure;0.00002
auriac;0.00001
auriau;0.00001
auriol;0.00003
aurousseau;0.00002
auroux;0.00003
auroy;0.00001
aussant;0.00002
aussel;0.00002
aussenac;0.00001
ausset;0.00002
austruy;0.00001
authier;0.00005
autin;0.00004
autissier;0.00002
autret;0.00005
auvinet;0.00002
auvray;0.00010
auzanneau;0.00002
auzou;0.00003
aveline;0.00002
avenel;0.00005
avenet;0.00001
averous;0.00001
averty;0.00003
avez;0.00001
avice;0.00002
avignon;0.00004
avisse;0.00002
avoine;0.00001
avon;0.00002
avril;0.00011
avrillon;0.00001
ayache;0.00003
ayad;0.00001
ayadi;0.00001
ayari;0.00001
aycaguer;0.00001
aydin;0.00001
aymard;0.00005
ayme;0.00003
aymes;0.00002
ayral;0.00002
ayrault;0.00002
azais;0.00003
azam;0.00002
azema;0.00006
azemar;0.00002
aziza;0.00001
aznar;0.00003
azoulay;0.00005
azouz;0.00001
azzi;0.00002
azzopardi;0.00003
azzoug;0.00002
azzouz;0.00003
ba;0.00004
baba;0.00001
babel;0.00002
babin;0.00009
babonneau;0.00002
baby;0.00002
bac;0.00002
bacar;0.00006
bach;0.00009
bacha;0.00001
bache;0.00002
bachelard;0.00003
bachelet;0.00010
bacheley;0.00001
bachelier;0.00006
bachellerie;0.00002
bachelot;0.00002
bacher;0.00002
bachet;0.00001
bachmann;0.00002
back;0.00002
bacle;0.00002
baclet;0.00002
baco;0.00002
bacon;0.00004
baconnier;0.00001
bacot;0.00002
bacou;0.00001
bacque;0.00003
bacquet;0.00007
badaire;0.00002
badel;0.00002
bader;0.00004
badet;0.00005
badier;0.00002
badin;0.00004
badiou;0.00003
badoc;0.00001
bador;0.00001
badoux;0.00001
badre;0.00002
baduel;0.00003
baelen;0.00001
baert;0.00003
baeza;0.00002
bagard;0.00001
baglin;0.00001
bagnis;0.00001
bagnol;0.00002
bagot;0.00002
bah;0.00002
bahri;0.00002
bail;0.00002
baile;0.00001
bailet;0.00002
baillard;0.00002
baillat;0.00001
baille;0.00003
baillet;0.00010
bailleul;0.00011
bailleux;0.00006
baillon;0.00005
baillot;0.00003
bailly;0.00040
bain;0.00001
bainvel;0.00001
bajard;0.00003
bajeux;0.00001
bak;0.00001
baker;0.00001
bal;0.00002
balan;0.00002
balard;0.00002
balas;0.00001
balavoine;0.00002
balay;0.00002
balcon;0.00002
baldacchino;0.00002
baldi;0.00002
baldini;0.00002
baldit;0.00001
baldo;0.00002
balducci;0.00001
baldy;0.00001
balestra;0.00001
balian;0.00001
ball;0.00002
ballan;0.00001
