norm_name,CODEISO3,ambiguité,dep_code
aisonville bernoville,FRA,1,02
aissey,FRA,1,25
aisy armancon,FRA,1,89
aisy thil,FRA,1,21
aiti,FRA,1,2B
aiton,FRA,1,73
aix angillon,FRA,1,18
aix bains,FRA,1,73
aix diois,FRA,1,26
aix ergny,FRA,1,62
aix fayette,FRA,1,63
aix issart,FRA,1,62
aix noulette,FRA,1,62
aix othe,FRA,1,10
aix provence,FRA,1,13
aix villemaur palis,FRA,1,10
aixe vienne,FRA,1,87
aizac,FRA,1,07
aizanville,FRA,1,52
aize,FRA,1,36
aizecourt bas,FRA,1,80
aizecourt haut,FRA,1,80
aizelles,FRA,1,02
aizenay,FRA,1,85
aizier,FRA,1,27
aizy,FRA,1,02
aizy jouy,FRA,1,02
ajac,FRA,1,11
ajaccio,FRA,1,2A
ajain,FRA,1,23
ajat,FRA,1,24
ajoncourt,FRA,1,57
ajoupa bouillon,FRA,1,972
ajoux,FRA,1,07
alaigne,FRA,1,11
alaincourt cote,FRA,1,57
alairac,FRA,1,11
alan,FRA,1,31
alando,FRA,1,2B
alata,FRA,1,2A
alba,FRA,1,07
alba romaine,FRA,1,07
alban,FRA,1,81
albaret comtal,FRA,1,48
albaret sainte marie,FRA,1,48
albe,FRA,1,67
albefeuille lagarde,FRA,1,82
albenc,FRA,1,38
albens,FRA,1,73
albepierre bredons,FRA,1,15
albere,FRA,1,66
albert,FRA,1,80
albertacce,FRA,1,2B
albertville,FRA,1,73
albestroff,FRA,1,57
albi,FRA,1,81
albias,FRA,1,82
albieres,FRA,1,11
albies,FRA,1,09
albiez jeune,FRA,1,73
albiez montrond,FRA,1,73
albiez vieux,FRA,1,73
albignac,FRA,1,19
albigny,FRA,1,69
albigny saone,FRA,1,69
albine,FRA,1,81
albitreccia,FRA,1,2A
albon ardeche,FRA,1,07
alboussiere,FRA,1,07
albres,FRA,1,12
albussac,FRA,1,19
alby,FRA,1,74
alby cheran,FRA,1,74
alcay alcabehety sunharette,FRA,1,64
aldudes,FRA,1,64
alembon,FRA,1,62
alencon,FRA,1,61
alenya,FRA,1,66
aleria,FRA,1,2B
ales,FRA,1,30
alet,FRA,1,11
alet bains,FRA,1,11
alette,FRA,1,62
aleu,FRA,1,09
alex,FRA,1,74
alexain,FRA,1,53
aleyrac,FRA,1,26
alfortville,FRA,1,94
algajola,FRA,1,2B
algans,FRA,1,81
algolsheim,FRA,1,68
algrange,FRA,1,57
alieze,FRA,1,39
alignan vent,FRA,1,34
alincourt,FRA,1,08
alincthun,FRA,1,62
alise sainte reine,FRA,1,21
alissas,FRA,1,07
alix,FRA,1,69
alixan,FRA,1,26
alizay,FRA,1,27
allain,FRA,1,54
allaines mervilliers,FRA,1,28
allaire,FRA,1,56
allamont,FRA,1,54
allamps,FRA,1,54
allan,FRA,1,26
allanche,FRA,1,15
alland huy sausseuil,FRA,1,08
allarmont,FRA,1,88
allas bocage,FRA,1,17
allas champagne,FRA,1,17
allas mines,FRA,1,24
allassac,FRA,1,19
allauch,FRA,1,13
allegre fumades,FRA,1,30
alleins,FRA,1,13
allemagne,FRA,1,04
allemagne provence,FRA,1,04
allemanche launay soyer,FRA,1,51
allemans,FRA,1,24
allemans dropt,FRA,1,47
allemond,FRA,1,38
allenay,FRA,1,80
allenc,FRA,1,48
allenjoie,FRA,1,25
allennes marais,FRA,1,59
allenwiller,FRA,1,67
allerey saone,FRA,1,71
alleriot,FRA,1,71
allery,FRA,1,80
alles dordogne,FRA,1,24
alleuze,FRA,1,15
allevard,FRA,1,38
alleves,FRA,1,74
allex,FRA,1,26
alleyrac,FRA,1,43
alleyras,FRA,1,43
allez cazeneuve,FRA,1,47
alliancelles,FRA,1,51
alliat,FRA,1,09
allibaudieres,FRA,1,10
allichamps,FRA,1,52
allier,FRA,1,65
allieres,FRA,1,09
allies,FRA,1,25
alligny cosne,FRA,1,58
alligny morvan,FRA,1,58
allineuc,FRA,1,22
allinges,FRA,1,74
allogny,FRA,1,18
allondans,FRA,1,25
allondaz,FRA,1,73
allondrelle,FRA,1,54
allondrelle malmaison,FRA,1,54
allonville,FRA,1,80
allonzier caille,FRA,1,74
allos,FRA,1,04
allouagne,FRA,1,62
alloue,FRA,1,16
allouis,FRA,1,18
allouville bellefosse,FRA,1,76
allues,FRA,1,73
alluets roi,FRA,1,78
alluy,FRA,1,58
alluyes,FRA,1,28
almayrac,FRA,1,81
almeneches,FRA,1,61
almon junies,FRA,1,12
almont junies,FRA,1,12
alo,FRA,1,986
alos sibas abense,FRA,1,64
aloxe corton,FRA,1,21
alquines,FRA,1,62
alrance,FRA,1,12
alsting,FRA,1,57
altagene,FRA,1,2A
alteckendorf,FRA,1,67
altenach,FRA,1,68
altenheim,FRA,1,67
althen paluds,FRA,1,84
altiani,FRA,1,2B
altier,FRA,1,48
altillac,FRA,1,19
altkirch,FRA,1,68
altorf,FRA,1,67
altrippe,FRA,1,57
altviller,FRA,1,57
altwiller,FRA,1,67
aluze,FRA,1,71
alvignac,FRA,1,46
alvimare,FRA,1,76
alzen,FRA,1,09
alzi,FRA,1,2B
alzing,FRA,1,57
alzon,FRA,1,30
alzonne,FRA,1,11
amage,FRA,1,70
amagne,FRA,1,08
amagney,FRA,1,25
amailloux,FRA,1,79
amancey,FRA,1,25
amancy,FRA,1,74
amange,FRA,1,39
amanlis,FRA,1,35
amanty,FRA,1,55
amanvillers,FRA,1,57
amanze,FRA,1,71
amareins francheleins cesseins,FRA,1,01
amarens,FRA,1,81
amathay vesigneux,FRA,1,25
amaye orne,FRA,1,14
amaye seulles,FRA,1,14
amazy,FRA,1,58
ambacourt,FRA,1,88
ambares lagrave,FRA,1,33
ambax,FRA,1,31
ambazac,FRA,1,87
ambel,FRA,1,38
ambenay,FRA,1,27
amberac,FRA,1,16
amberieu,FRA,1,01
amberieu bugey,FRA,1,01
amberieux,FRA,1,69
amberieux dombes,FRA,1,01
ambernac,FRA,1,16
amberre,FRA,1,86
ambert,FRA,1,63
ambes,FRA,1,33
ambeyrac,FRA,1,12
ambialet,FRA,1,81
ambiegna,FRA,1,2A
ambierle,FRA,1,42
ambievillers,FRA,1,70
ambillou,FRA,1,37
ambillou chateau,FRA,1,49
ambilly,FRA,1,74
amblainville,FRA,1,60
amblans velotte,FRA,1,70
ambleny,FRA,1,02
ambleon,FRA,1,01
ambleteuse,FRA,1,62
amblie,FRA,1,14
ambloy,FRA,1,41
ambly fleury,FRA,1,08
ambly meuse,FRA,1,55
amboise,FRA,1,37
ambon,FRA,1,56
ambonil,FRA,1,26
ambonnay,FRA,1,51
ambonville,FRA,1,52
ambrault,FRA,1,36
ambres,FRA,1,81
ambricourt,FRA,1,62
ambrief,FRA,1,02
ambrieres,FRA,1,51
ambrieres grand,FRA,1,53
ambrieres vallees,FRA,1,53
ambrines,FRA,1,62
ambronay,FRA,1,01
ambrugeat,FRA,1,19
ambrumesnil,FRA,1,76
ambrus,FRA,1,47
ambutrix,FRA,1,01
amecourt,FRA,1,27
amel etang,FRA,1,55
amelecourt,FRA,1,57
amelie bains,FRA,1,66
amelie bains palalda,FRA,1,66
amendeuix oneix,FRA,1,64
amenoncourt,FRA,1,54
amenucourt,FRA,1,95
ames,FRA,1,62
amettes,FRA,1,62
ameugny,FRA,1,71
ameuvelle,FRA,1,88
amfreville,FRA,1,14
amfreville campagne,FRA,1,27
amfreville iton,FRA,1,27
amfreville mi voie,FRA,1,76
amfreville monts,FRA,1,27
amfreville saint amand,FRA,1,27
amfroipret,FRA,1,59
amiens,FRA,1,80
amifontaine,FRA,1,02
amigny,FRA,1,50
amigny rouy,FRA,1,02
amillis,FRA,1,77
amions,FRA,1,42
amirat,FRA,1,06
ammerschwihr,FRA,1,68
ammerzwiller,FRA,1,68
amne,FRA,1,72
amneville,FRA,1,57
amoncourt,FRA,1,70
amondans,FRA,1,25
amont effreney,FRA,1,70
amorots succos,FRA,1,64
amou,FRA,1,40
ampilly bordes,FRA,1,21
ampilly sec,FRA,1,21
amplepuis,FRA,1,69
amplier,FRA,1,62
