id,CODEISO3,insee_code,start_datetime,end_datetime,name,norm_name,newest_id,insee_code_history,dep_history,population,dep_code,newest_insee_code,validity,newest_name,newest_dep_code,surface,latitude,longitude,geopoint_2d,Code ONS,Commune,dep,Dates changement,Daira,Code postal,ambiguity,norm_rank,insee_rank
ALCO1509@2017-01-01,DZA,,,,Makouda,makouda,ALCO1509@2017-01-01,,,23388,,,true,Makouda,,5743,36.790915,4.066916,POINT(4.066916 36.790915),1509,Makouda,Tizi Ouzou,,,,,1.0,1829.0
ALCO1511@2017-01-01,DZA,,,,Tizi Gheniff,tizi gheniff,ALCO1511@2017-01-01,,,29409,,,true,Tizi Gheniff,,4107,36.589068,3.767796,POINT(3.767796 36.589068),1511,Tizi Gheniff,Tizi Ouzou,,,,,1.0,1830.0
ALCO1514@2017-01-01,DZA,,,,Frikat,frikat,ALCO1514@2017-01-01,,,12791,,,true,Frikat,,3859,36.518535,3.883152,POINT(3.883152 36.518535),1514,Frikat,Tizi Ouzou,,,,,1.0,1831.0
ALCO1516@2017-01-01,DZA,,,,Beni Zmenzer,beni zmenzer,ALCO1516@2017-01-01,,,12117,,,true,Beni Zmenzer,,2029,36.64775,4.04202,POINT(4.04202 36.64775),1516,Beni Zmenzer,Tizi Ouzou,,,,,1.0,1832.0
ALCO1520@2017-01-01,DZA,,,,Yacouren,yacouren,,,,,,,true,Yakouren,,,,,,,,,,,,1,1.0,1833.0
ALCO1521@2017-01-01,DZA,,,,Fort-Napoléon,fort napoleon,,,,,,,true,Larbaa Nath Irathen,,,,,,,,,,,,1,1.0,1834.0
ALCO1521@2017-01-01,DZA,,,,Fort-National,fort national,,,,,,,true,Larbaa Nath Irathen,,,,,,,,,,,,1,1.0,1835.0
ALCO1521@2017-01-01,DZA,,,,Larbaâ Nath Irathen,larbaa nath irathen,ALCO1521@2017-01-01,,,29376,,,true,Larbaâ Nath Irathen,,3928,36.6366137,4.206709,POINT(4.206709 36.6366137),1521,Larbaâ Nath Irathen,Tizi Ouzou,,,,,1.0,1836.0
ALCO1521@2017-01-01,DZA,,,,sous le Second Empire,sous second empire,,,,,,,true,Larbaa Nath Irathen,,,,,,,,,,,,1,1.0,1837.0
ALCO1522@2017-01-01,DZA,,,,Tizi Rached,tizi rached,ALCO1522@2017-01-01,,,17161,,,true,Tizi Rached,,3105,36.67176,4.19176,POINT(4.19176 36.67176),1522,Tizi Rached,Tizi Ouzou,,,,,1.0,1838.0
ALCO1525@2017-01-01,DZA,,,,Aïn Zaouia,ain zaouia,ALCO1525@2017-01-01,,,17320,,,true,Aïn Zaouia,,5689,36.54828,3.89416,POINT(3.89416 36.54828),1525,Aïn Zaouia,Tizi Ouzou,,,,,1.0,1839.0
ALCO1525@2017-01-01,DZA,,,,Pirette,pirette,,,,,,,true,Aïn Zaouia,,,,,,,,,,,,1,1.0,1840.0
ALCO1528@2017-01-01,DZA,,,,Aït Mahmoud,ait mahmoud,ALCO1528@2017-01-01,,,7699,,,true,Aït Mahmoud,,2573,36.508394,3.993187,POINT(3.993187 36.508394),1528,Aït Mahmoud,Tizi Ouzou,,,,,1.0,1841.0
ALCO1531@2017-01-01,DZA,,,,Abi Youcef,abi youcef,ALCO1531@2017-01-01,,,7693,,,true,Abi Youcef,,1686,36.551293,4.33342,POINT(4.33342 36.551293),1531,Abi Youcef,Tizi Ouzou,,,,,1.0,1842.0
ALCO1533@2017-01-01,DZA,,,,Illilten,illilten,ALCO1533@2017-01-01,,,9142,,,true,Illilten,,2684,36.50796,4.40429,POINT(4.40429 36.50796),1533,Illilten,Tizi Ouzou,,,,,1.0,1843.0
ALCO1534@2017-01-01,DZA,,,,Bouzguen,bouzguen,ALCO1534@2017-01-01,,,24311,,,true,Bouzguen,,669,36.6167048,4.4798498,POINT(4.4798498 36.6167048),1534,Bouzguen,Tizi Ouzou,,,,,1.0,1844.0
